event_year,event_week,respiratory_category,percent
2018,40,Influenza,0.05
2018,40,RSV,0.02
2018,40,ILI,1.38
2018,41,Broad Acute Respiratory,9.02
2018,41,COVID-19,0.00
2018,41,Influenza,0.01
2018,41,RSV,0.05
2018,41,ILI,1.41
2018,42,Broad Acute Respiratory,10.16
2018,42,COVID-19,0.00
2018,42,Influenza,0.05
2018,42,RSV,0.04
2018,42,ILI,1.75
2018,43,Broad Acute Respiratory,10.57
2018,43,COVID-19,0.00
2018,43,Influenza,0.09
2018,43,RSV,0.09
2018,43,ILI,2.01
2018,44,Broad Acute Respiratory,11.03
2018,44,COVID-19,0.00
2018,44,Influenza,0.11
2018,44,RSV,0.13
2018,44,ILI,1.82
2018,45,Broad Acute Respiratory,11.01
2018,45,COVID-19,0.00
2018,45,Influenza,0.15
2018,45,RSV,0.15
2018,45,ILI,2.24
2018,46,Broad Acute Respiratory,11.58
2018,46,COVID-19,0.00
2018,46,Influenza,0.12
2018,46,RSV,0.15
2018,46,ILI,2.28
2018,47,Broad Acute Respiratory,11.74
2018,47,COVID-19,0.00
2018,47,Influenza,0.13
2018,47,RSV,0.20
2018,47,ILI,2.16
2018,48,Broad Acute Respiratory,11.11
2018,48,COVID-19,0.00
2018,48,Influenza,0.14
2018,48,RSV,0.19
2018,48,ILI,2.15
2018,49,Broad Acute Respiratory,11.00
2018,49,COVID-19,0.00
2018,49,Influenza,0.16
2018,49,RSV,0.35
2018,49,ILI,2.16
2018,50,Broad Acute Respiratory,12.01
2018,50,COVID-19,0.00
2018,50,Influenza,0.31
2018,50,RSV,0.39
2018,50,ILI,2.57
2018,51,Broad Acute Respiratory,13.46
2018,51,COVID-19,0.00
2018,51,Influenza,0.47
2018,51,RSV,0.49
2018,51,ILI,2.55
2018,52,Broad Acute Respiratory,16.30
2018,52,COVID-19,0.00
2018,52,Influenza,0.88
2018,52,RSV,0.62
2018,52,ILI,3.35
2018,1,Broad Acute Respiratory,15.98
2018,1,COVID-19,0.00
2018,1,Influenza,0.92
2018,1,RSV,0.71
2018,1,ILI,3.18
2019,2,Broad Acute Respiratory,13.94
2019,2,COVID-19,0.00
2019,2,Influenza,1.22
2019,2,RSV,0.44
2019,2,ILI,3.08
2019,3,Broad Acute Respiratory,14.30
2019,3,COVID-19,0.00
2019,3,Influenza,1.55
2019,3,RSV,0.41
2019,3,ILI,3.11
2019,4,Broad Acute Respiratory,14.52
2019,4,COVID-19,0.00
2019,4,Influenza,1.91
2019,4,RSV,0.33
2019,4,ILI,3.28
2019,5,Broad Acute Respiratory,14.04
2019,5,COVID-19,0.00
2019,5,Influenza,1.97
2019,5,RSV,0.33
2019,5,ILI,3.12
2019,6,Broad Acute Respiratory,11.84
2019,6,COVID-19,0.00
2019,6,Influenza,1.43
2019,6,RSV,0.21
2019,6,ILI,2.27
2019,7,Broad Acute Respiratory,12.40
2019,7,COVID-19,0.00
2019,7,Influenza,1.57
2019,7,RSV,0.14
2019,7,ILI,2.63
2019,8,Broad Acute Respiratory,12.25
2019,8,COVID-19,0.00
2019,8,Influenza,1.55
2019,8,RSV,0.16
2019,8,ILI,2.61
2019,9,Broad Acute Respiratory,12.95
2019,9,COVID-19,0.00
2019,9,Influenza,1.62
2019,9,RSV,0.12
2019,9,ILI,2.89
2019,10,Broad Acute Respiratory,13.21
2019,10,COVID-19,0.00
2019,10,Influenza,1.67
2019,10,RSV,0.11
2019,10,ILI,3.04
2019,11,Broad Acute Respiratory,13.01
2019,11,COVID-19,0.00
2019,11,Influenza,1.79
2019,11,RSV,0.08
2019,11,ILI,3.09
2019,12,Broad Acute Respiratory,13.10
2019,12,COVID-19,0.00
2019,12,Influenza,1.69
2019,12,RSV,0.08
2019,12,ILI,3.05
2019,13,Broad Acute Respiratory,13.47
2019,13,COVID-19,0.00
2019,13,Influenza,1.84
2019,13,RSV,0.08
2019,13,ILI,3.11
2019,14,Broad Acute Respiratory,12.71
2019,14,COVID-19,0.00
2019,14,Influenza,1.81
2019,14,RSV,0.04
2019,14,ILI,2.98
