event_year,event_season,respiratory_category,percent
2017,2017-2018,Broad Acute Respiratory,11.55
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.14
2017,2017-2018,RSV,0.21
2017,2017-2018,ILI,2.21
2017,2017-2018,Broad Acute Respiratory,11.20
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.28
2017,2017-2018,RSV,0.22
2017,2017-2018,ILI,2.21
2017,2017-2018,Broad Acute Respiratory,11.60
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.38
2017,2017-2018,RSV,0.23
2017,2017-2018,ILI,2.44
2017,2017-2018,Broad Acute Respiratory,13.06
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.92
2017,2017-2018,RSV,0.33
2017,2017-2018,ILI,3.07
2017,2017-2018,Broad Acute Respiratory,15.26
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,1.77
2017,2017-2018,RSV,0.46
2017,2017-2018,ILI,4.31
2017,2017-2018,Broad Acute Respiratory,20.52
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,3.87
2017,2017-2018,RSV,0.49
2017,2017-2018,ILI,6.44
2017,2017-2018,Broad Acute Respiratory,19.50
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,4.05
2017,2017-2018,RSV,0.48
2017,2017-2018,ILI,5.90
2018,2017-2018,Broad Acute Respiratory,18.00
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,3.94
2018,2017-2018,RSV,0.37
2018,2017-2018,ILI,6.30
2018,2017-2018,Broad Acute Respiratory,18.22
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,4.18
2018,2017-2018,RSV,0.39
2018,2017-2018,ILI,6.56
2018,2017-2018,Broad Acute Respiratory,18.52
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,4.66
2018,2017-2018,RSV,0.26
2018,2017-2018,ILI,7.13
2018,2017-2018,Broad Acute Respiratory,20.06
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,5.45
2018,2017-2018,RSV,0.30
2018,2017-2018,ILI,8.09
2018,2017-2018,Broad Acute Respiratory,18.95
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,4.41
2018,2017-2018,RSV,0.26
2018,2017-2018,ILI,7.14
2018,2017-2018,Broad Acute Respiratory,15.69
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,3.22
2018,2017-2018,RSV,0.13
2018,2017-2018,ILI,5.52
2018,2017-2018,Broad Acute Respiratory,13.87
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,2.25
2018,2017-2018,RSV,0.15
2018,2017-2018,ILI,4.49
2018,2017-2018,Broad Acute Respiratory,13.27
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,1.64
2018,2017-2018,RSV,0.22
2018,2017-2018,ILI,3.74
2018,2017-2018,Broad Acute Respiratory,12.74
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,1.32
2018,2017-2018,RSV,0.13
2018,2017-2018,ILI,3.38
2018,2017-2018,Broad Acute Respiratory,12.20
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,1.12
2018,2017-2018,RSV,0.19
2018,2017-2018,ILI,3.14
2018,2017-2018,Broad Acute Respiratory,12.52
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.99
2018,2017-2018,RSV,0.08
2018,2017-2018,ILI,3.02
2018,2017-2018,Broad Acute Respiratory,11.69
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.99
2018,2017-2018,RSV,0.10
2018,2017-2018,ILI,2.82
2018,2017-2018,Broad Acute Respiratory,11.49
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.62
2018,2017-2018,RSV,0.09
2018,2017-2018,ILI,2.69
2018,2017-2018,Broad Acute Respiratory,10.33
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.56
2018,2017-2018,RSV,0.08
2018,2017-2018,ILI,2.15
2018,2017-2018,Broad Acute Respiratory,10.55
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.34
2018,2017-2018,RSV,0.06
2018,2017-2018,ILI,2.23
