season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2015-2016,COVID-19,ED Visits,Unknown Race/Ethnicity,0.000000,0.00,0.00
2021-2022,RSV,ED Visits,White Non-Hispanic,0.136538,0.77,0.00
2016-2017,Influenza,ED Visits,White Non-Hispanic,0.385192,2.01,0.00
2019-2020,ILI,ED Visits,Other Race/Ethnicity,2.826923,8.66,0.18
2021-2022,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,6.722692,13.56,4.25
2023-2024,Influenza,Admissions,Hispanic or Latino,0.679231,3.64,0.00
2021-2022,Broad Acute Respiratory,Admissions,Asian Non-Hispanic,12.715192,25.49,6.25
2017-2018,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,10.731923,23.59,4.34
2024-2025,RSV,ED Visits,Black Non-Hispanic,0.180000,0.94,0.00
2015-2016,ILI,ED Visits,Hispanic or Latino,3.396346,8.59,1.05
2023-2024,ILI,ED Visits,Unknown Race/Ethnicity,1.679615,5.50,0.39
2023-2024,RSV,Admissions,Asian Non-Hispanic,0.273462,2.08,0.00
2017-2018,Influenza,ED Visits,White Non-Hispanic,0.815385,4.27,0.00
2020-2021,Influenza,ED Visits,Other Race/Ethnicity,0.055385,0.30,0.00
2019-2020,COVID-19,Admissions,Asian Non-Hispanic,2.607308,17.12,0.00
2023-2024,Influenza,Admissions,Black Non-Hispanic,0.815962,4.48,0.00
2019-2020,COVID-19,Admissions,White Non-Hispanic,2.148846,12.22,0.00
2023-2024,Broad Acute Respiratory,Admissions,White Non-Hispanic,13.450385,20.28,10.01
2023-2024,COVID-19,ED Visits,Other Race/Ethnicity,1.386154,4.08,0.26
2017-2018,RSV,ED Visits,Other Race/Ethnicity,0.250577,1.34,0.00
2020-2021,Influenza,Admissions,Asian Non-Hispanic,0.014423,0.75,0.00
2021-2022,COVID-19,ED Visits,Black Non-Hispanic,3.161346,19.48,0.29
2023-2024,COVID-19,Admissions,Black Non-Hispanic,1.506923,4.86,0.22
2021-2022,Influenza,ED Visits,Black Non-Hispanic,0.286538,1.38,0.01
2019-2020,Influenza,ED Visits,Other Race/Ethnicity,1.371923,7.00,0.00
2022-2023,Broad Acute Respiratory,ED Visits,Asian Non-Hispanic,14.963462,29.37,8.48
2021-2022,ILI,Admissions,Hispanic or Latino,0.346154,0.95,0.00
2021-2022,RSV,Admissions,Black Non-Hispanic,0.118462,0.50,0.00
2025-2026,COVID-19,Admissions,White Non-Hispanic,0.523333,1.74,0.00
2025-2026,Influenza,ED Visits,Other Race/Ethnicity,1.504762,10.64,0.00
2016-2017,COVID-19,ED Visits,Black Non-Hispanic,0.000000,0.00,0.00
2023-2024,ILI,Admissions,Other Race/Ethnicity,0.414423,1.75,0.00
2016-2017,RSV,ED Visits,Asian Non-Hispanic,0.059808,0.77,0.00
2019-2020,Influenza,Admissions,Asian Non-Hispanic,0.620962,5.56,0.00
2023-2024,COVID-19,Admissions,Other Race/Ethnicity,1.538077,5.16,0.00
2017-2018,Broad Acute Respiratory,ED Visits,White Non-Hispanic,8.817308,16.54,4.95
2017-2018,COVID-19,ED Visits,Unknown Race/Ethnicity,0.000000,0.00,0.00
2020-2021,ILI,ED Visits,Asian Non-Hispanic,0.877885,2.44,0.00
2021-2022,Influenza,Admissions,Unknown Race/Ethnicity,0.053077,0.94,0.00
2019-2020,Influenza,ED Visits,Black Non-Hispanic,0.965385,4.77,0.00
2017-2018,Broad Acute Respiratory,ED Visits,Other Race/Ethnicity,12.867885,26.92,5.84
2019-2020,ILI,ED Visits,Asian Non-Hispanic,3.984038,11.81,0.00
2023-2024,RSV,ED Visits,Black Non-Hispanic,0.175000,0.75,0.00
2024-2025,Broad Acute Respiratory,Admissions,Asian Non-Hispanic,12.883654,24.41,5.12
2017-2018,RSV,ED Visits,White Non-Hispanic,0.100962,0.44,0.00
2019-2020,Influenza,ED Visits,Hispanic or Latino,1.737692,8.79,0.00
2021-2022,Broad Acute Respiratory,Admissions,Other Race/Ethnicity,13.700769,30.05,7.61
2023-2024,Influenza,ED Visits,Hispanic or Latino,1.426154,6.64,0.02
2018-2019,ILI,ED Visits,Hispanic or Latino,2.672308,5.08,0.99
2025-2026,COVID-19,Admissions,Other Race/Ethnicity,0.444524,2.07,0.00
2021-2022,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,12.265577,31.07,7.77
2024-2025,COVID-19,ED Visits,Black Non-Hispanic,0.567115,1.45,0.12
2016-2017,ILI,ED Visits,Other Race/Ethnicity,2.417885,6.09,0.67
2022-2023,Influenza,ED Visits,Black Non-Hispanic,0.777885,7.44,0.01
2019-2020,Broad Acute Respiratory,Admissions,Hispanic or Latino,18.783846,44.64,10.78
2025-2026,Broad Acute Respiratory,ED Visits,White Non-Hispanic,10.133810,17.42,4.90
2015-2016,ILI,ED Visits,Unknown Race/Ethnicity,1.564423,4.27,0.61
2022-2023,Broad Acute Respiratory,ED Visits,Black Non-Hispanic,12.024808,24.76,7.00
2019-2020,Broad Acute Respiratory,Admissions,Asian Non-Hispanic,14.203269,29.73,2.46
2025-2026,COVID-19,ED Visits,Other Race/Ethnicity,0.413333,1.73,0.00
2025-2026,Influenza,Admissions,Hispanic or Latino,0.846190,6.50,0.00
2024-2025,ILI,ED Visits,Other Race/Ethnicity,1.631923,5.26,0.00
2021-2022,ILI,ED Visits,Black Non-Hispanic,1.304423,4.22,0.35
2023-2024,RSV,Admissions,Other Race/Ethnicity,0.459615,3.88,0.00
2022-2023,ILI,ED Visits,Other Race/Ethnicity,1.644231,5.66,0.26
2022-2023,Influenza,ED Visits,White Non-Hispanic,0.773269,6.78,0.00
2016-2017,ILI,ED Visits,Unknown Race/Ethnicity,2.183846,5.33,0.32
2025-2026,RSV,ED Visits,Asian Non-Hispanic,0.390476,1.39,0.00
2023-2024,Influenza,ED Visits,Other Race/Ethnicity,1.052500,4.38,0.00
2020-2021,Influenza,Admissions,Black Non-Hispanic,0.025192,0.15,0.00
2024-2025,ILI,ED Visits,Black Non-Hispanic,1.918462,5.16,0.49
2021-2022,Broad Acute Respiratory,Admissions,Hispanic or Latino,13.099038,32.80,7.45
2024-2025,COVID-19,Admissions,Asian Non-Hispanic,0.647692,2.58,0.00
2022-2023,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,8.540962,17.62,4.81
2019-2020,Influenza,ED Visits,Unknown Race/Ethnicity,1.341154,7.26,0.00
2016-2017,RSV,ED Visits,Black Non-Hispanic,0.032308,0.20,0.00
2022-2023,ILI,Admissions,Hispanic or Latino,0.506731,1.44,0.08
2018-2019,ILI,ED Visits,Unknown Race/Ethnicity,1.933077,5.12,0.23
2024-2025,Influenza,ED Visits,Unknown Race/Ethnicity,1.063077,5.04,0.00
2018-2019,ILI,ED Visits,Asian Non-Hispanic,2.139423,4.34,0.22
